region	split_source	target_parent_id	target_parent_product_code	target_parent_product_label	target_parent_activity_code	target_parent_activity_label	split_label	split_label_description	split_kind	split_product_code	split_activity_code	split_share
IT	manufacturing	C27	CPA_C27	Electrical equipment	C27	C27	PV	Photovoltaic equipment	child	CPA_C27_PV	C27_PV	0.0
IT	circular_parent	REPAIR_MACHINERY	CPA_C33	Repair and installation services of machinery and equipment	C33	Repair and installation of machinery and equipment	ELMA	Electrical machinery and apparatus n.e.c.-linked share of Repair and installation services of machinery and equipment	family_split	CPA_C33_ELMA	C33_ELMA	0.014092378183019725
IT	circular_parent	REPAIR_MACHINERY	CPA_C33	Repair and installation services of machinery and equipment	C33	Repair and installation of machinery and equipment	OFMA	Office machinery and computers-linked share of Repair and installation services of machinery and equipment	family_split	CPA_C33_OFMA	C33_OFMA	0.0007331840643210981
IT	circular_parent	REPAIR_MACHINERY	CPA_C33	Repair and installation services of machinery and equipment	C33	Repair and installation of machinery and equipment	RATV	Radio, television and communication equipment and apparatus-linked share of Repair and installation services of machinery and equipment	family_split	CPA_C33_RATV	C33_RATV	0.0025529421756295455
IT	circular_parent	REPAIR_MACHINERY	CPA_C33	Repair and installation services of machinery and equipment	C33	Repair and installation of machinery and equipment	res	Residual non-CE-RISE share of Repair and installation services of machinery and equipment	residual	CPA_C33_res	C33_res	0.9826214955770296
IT	circular_parent	WASTE_RECOVERY	CPA_E37-39	Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services	E37-E39	Sewerage, waste management, remediation activities	ELMA	Electrical machinery and apparatus n.e.c.-linked share of Waste treatment, disposal, and materials recovery services	family_split	CPA_E37-39_ELMA	E37-E39_ELMA	0.009819918102475352
IT	circular_parent	WASTE_RECOVERY	CPA_E37-39	Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services	E37-E39	Sewerage, waste management, remediation activities	OFMA	Office machinery and computers-linked share of Waste treatment, disposal, and materials recovery services	family_split	CPA_E37-39_OFMA	E37-E39_OFMA	0.0010641360437127767
IT	circular_parent	WASTE_RECOVERY	CPA_E37-39	Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services	E37-E39	Sewerage, waste management, remediation activities	RATV	Radio, television and communication equipment and apparatus-linked share of Waste treatment, disposal, and materials recovery services	family_split	CPA_E37-39_RATV	E37-E39_RATV	0.003705314829936271
IT	circular_parent	WASTE_RECOVERY	CPA_E37-39	Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services	E37-E39	Sewerage, waste management, remediation activities	res	Residual non-CE-RISE share of Waste treatment, disposal, and materials recovery services	residual	CPA_E37-39_res	E37-E39_res	0.9854106310238756
IT	circular_parent	WHOLESALE_CHANNEL	CPA_G46	Wholesale trade services, except of motor vehicles and motorcycles	G46	Wholesale trade, except of motor vehicles and motorcycles	ELMA	Electrical machinery and apparatus n.e.c.-linked share of Wholesale trade services	family_split	CPA_G46_ELMA	G46_ELMA	0.014563974371956393
IT	circular_parent	WHOLESALE_CHANNEL	CPA_G46	Wholesale trade services, except of motor vehicles and motorcycles	G46	Wholesale trade, except of motor vehicles and motorcycles	OFMA	Office machinery and computers-linked share of Wholesale trade services	family_split	CPA_G46_OFMA	G46_OFMA	0.0018022988342603881
IT	circular_parent	WHOLESALE_CHANNEL	CPA_G46	Wholesale trade services, except of motor vehicles and motorcycles	G46	Wholesale trade, except of motor vehicles and motorcycles	RATV	Radio, television and communication equipment and apparatus-linked share of Wholesale trade services	family_split	CPA_G46_RATV	G46_RATV	0.006275592898124188
IT	circular_parent	WHOLESALE_CHANNEL	CPA_G46	Wholesale trade services, except of motor vehicles and motorcycles	G46	Wholesale trade, except of motor vehicles and motorcycles	res	Residual non-CE-RISE share of Wholesale trade services	residual	CPA_G46_res	G46_res	0.9773581338956591
IT	circular_parent	RETAIL_CHANNEL	CPA_G47	Retail trade services, except of motor vehicles and motorcycles	G47	Retail trade, except of motor vehicles and motorcycles	ELMA	Electrical machinery and apparatus n.e.c.-linked share of Retail trade services	family_split	CPA_G47_ELMA	G47_ELMA	0.0034011350347598612
IT	circular_parent	RETAIL_CHANNEL	CPA_G47	Retail trade services, except of motor vehicles and motorcycles	G47	Retail trade, except of motor vehicles and motorcycles	OFMA	Office machinery and computers-linked share of Retail trade services	family_split	CPA_G47_OFMA	G47_OFMA	0.0004590668154609434
IT	circular_parent	RETAIL_CHANNEL	CPA_G47	Retail trade services, except of motor vehicles and motorcycles	G47	Retail trade, except of motor vehicles and motorcycles	RATV	Radio, television and communication equipment and apparatus-linked share of Retail trade services	family_split	CPA_G47_RATV	G47_RATV	0.0015984676858837497
IT	circular_parent	RETAIL_CHANNEL	CPA_G47	Retail trade services, except of motor vehicles and motorcycles	G47	Retail trade, except of motor vehicles and motorcycles	res	Residual non-CE-RISE share of Retail trade services	residual	CPA_G47_res	G47_res	0.9945413304638955
IT	circular_parent	LEASING_CHANNEL	CPA_N77	Rental and leasing services	N77	Rental and leasing activities	ELMA	Electrical machinery and apparatus n.e.c.-linked share of Rental and leasing services	family_split	CPA_N77_ELMA	N77_ELMA	0.022833757992313488
IT	circular_parent	LEASING_CHANNEL	CPA_N77	Rental and leasing services	N77	Rental and leasing activities	OFMA	Office machinery and computers-linked share of Rental and leasing services	family_split	CPA_N77_OFMA	N77_OFMA	0.0024865884375259314
IT	circular_parent	LEASING_CHANNEL	CPA_N77	Rental and leasing services	N77	Rental and leasing activities	RATV	Radio, television and communication equipment and apparatus-linked share of Rental and leasing services	family_split	CPA_N77_RATV	N77_RATV	0.00865828487621434
IT	circular_parent	LEASING_CHANNEL	CPA_N77	Rental and leasing services	N77	Rental and leasing activities	res	Residual non-CE-RISE share of Rental and leasing services	residual	CPA_N77_res	N77_res	0.9660213686939463
IT	circular_parent	REPAIR_HOUSEHOLD	CPA_S95	Repair services of computers and personal and household goods	S95	Repair of computers and personal and household goods	ELMA	Electrical machinery and apparatus n.e.c.-linked share of Repair services of computers and personal and household goods	family_split	CPA_S95_ELMA	S95_ELMA	0.007979465970397845
IT	circular_parent	REPAIR_HOUSEHOLD	CPA_S95	Repair services of computers and personal and household goods	S95	Repair of computers and personal and household goods	OFMA	Office machinery and computers-linked share of Repair services of computers and personal and household goods	family_split	CPA_S95_OFMA	S95_OFMA	0.0019884067765169613
IT	circular_parent	REPAIR_HOUSEHOLD	CPA_S95	Repair services of computers and personal and household goods	S95	Repair of computers and personal and household goods	RATV	Radio, television and communication equipment and apparatus-linked share of Repair services of computers and personal and household goods	family_split	CPA_S95_RATV	S95_RATV	0.0069236195508125264
IT	circular_parent	REPAIR_HOUSEHOLD	CPA_S95	Repair services of computers and personal and household goods	S95	Repair of computers and personal and household goods	res	Residual non-CE-RISE share of Repair services of computers and personal and household goods	residual	CPA_S95_res	S95_res	0.9831085077022726
