recycled_origin	destination_region	destination_activity	source_use_kind	source_use_target	allocated_value_meur	primary_metal_reduction_meur	allocation_weight
DE	DE	CONSTRUCTION	final	P3_S14	0.06404173200121921	0.06404173200121921	0.0012524094882325738
DE	DE	EXTRACTIVE	final	P3_S14	0.0022033523278115405	0.0022033523278115405	4.308908074531724e-5
DE	DE	INC_EE	final	P3_S14	6.8541149234398e-7	6.8541149234398e-7	1.3404007504651908e-8
DE	DE	METAL_COMPONENTS	final	P3_S14	0.307147661292232	0.307147661292232	0.006006624637876951
DE	DE	NEW_ELMA	final	P3_S14	0.05888054415610388	0.05888054415610388	0.0011514765430141337
DE	DE	NEW_RATV	final	P3_S14	0.012171040494444394	0.012171040494444394	0.0002380186500361177
DE	DE	OTHER_MANUFACTURING	final	P3_S14	0.5165715067384883	0.5165715067384883	0.010102148024003521
DE	DE	OTHER_SERVICES	final	P3_S14	0.03381983297672872	0.03381983297672872	0.0006613856057123747
DE	DE	PUBLIC_SOCIAL	final	P3_S14	0.002080793278048503	0.002080793278048503	4.069229802262207e-5
DE	DE	REC_EE	final	P3_S14	2.5823646771559664e-6	2.5823646771559664e-6	5.0501101745424495e-8
DE	DE	REF_ELMA	final	P3_S14	0.0010564264766884245	0.0010564264766884245	2.0659630863817085e-5
DE	DE	REF_RATV	final	P3_S14	0.0007422371572900547	0.0007422371572900547	1.4515298528952036e-5
DE	DE	REP_ELMA	final	P3_S14	5.639244808856734e-8	5.639244808856734e-8	1.1028189720015695e-9
DE	DE	REP_RATV	final	P3_S14	2.221951506149933e-7	2.221951506149933e-7	4.345280900026027e-9
DE	DE	REU_ELMA	final	P3_S14	1.5265322593646542e-5	1.5265322593646542e-5	2.985308838438354e-7
DE	DE	REU_RATV	final	P3_S14	2.6434060371854198e-5	2.6434060371854198e-5	5.169483552005214e-7
DE	DE	TRADE	final	P3_S14	0.004840007637515773	0.004840007637515773	9.46518980502819e-5
DE	DE	TRANSPORT	final	P3_S14	0.0062370842032547415	0.0062370842032547415	0.00012197333193476137
DE	DE	UTIL_WASTE	final	P3_S14	0.014722316058508727	0.014722316058508727	0.00028791176853374436
DE	DE	AGRI_FOOD	final	P3_S14	0.004407637314310847	0.004407637314310847	8.619640070049561e-5
DE	DE	BASIC_METALS	final	P3_S14	0.34487211659848793	0.34487211659848793	0.006744369609594162
DE	DE	CONSTRUCTION	final	P3_S14	0.0292093724062151	0.0292093724062151	0.0005712227637154797
DE	DE	EXTRACTIVE	final	P3_S14	0.0008637323754318616	0.0008637323754318616	1.689127680469243e-5
DE	DE	INC_EE	final	P3_S14	4.988870004855437e-7	4.988870004855437e-7	9.75630723029303e-9
DE	DE	METAL_COMPONENTS	final	P3_S14	0.11581247120092274	0.11581247120092274	0.0022648456444765734
DE	DE	NEW_ELMA	final	P3_S14	0.02225260367348434	0.02225260367348434	0.00043517517574353306
DE	DE	NEW_RATV	final	P3_S14	0.004887007180927566	0.004887007180927566	9.557102800308218e-5
DE	DE	OTHER_MANUFACTURING	final	P3_S14	0.20970119780132002	0.20970119780132002	0.004100947329393105
DE	DE	OTHER_SERVICES	final	P3_S14	0.014102715840668686	0.014102715840668686	0.0002757947759496109
