table	row_region	row_sector	column_region	column_code	original_value_meur	constructed_value_meur	balanced_value_meur	change_from_original_meur	balancing_adjustment_meur
intermediate	DE	BASIC_METALS	IT	OTHER_SERVICES	18.731230064714303	18.622743549815	18.622743549815	-0.10848651489930461	0.0
intermediate	DE	BASIC_METALS	IT	PUBLIC_SOCIAL	2.2275122063626585	2.2146110228670173	2.2146110228670173	-0.012901183495641178	0.0
intermediate	DE	BASIC_METALS	IT	REC_EE	0.0580718213199317	0.057735484117992016	0.057735484117992016	-0.00033633720193968625	0.0
intermediate	DE	BASIC_METALS	IT	REF_ELMA	0.06080605749556926	0.060453884293933786	0.060453884293933786	-0.00035217320163547644	0.0
intermediate	DE	BASIC_METALS	IT	REF_OFMA	0.003227621634111258	0.0032089280714734285	0.0032089280714734285	-1.8693562637829304e-5	0.0
intermediate	DE	BASIC_METALS	IT	REF_RATV	0.013411504416910566	0.013333828398372514	0.013333828398372514	-7.767601853805178e-5	0.0
intermediate	DE	BASIC_METALS	IT	REP_ELMA	4.64076366867845e-5	4.61388554721249e-5	4.61388554721249e-5	-2.6878121465960373e-7	0.0
intermediate	DE	BASIC_METALS	IT	REP_RATV	2.6741404477424255e-5	2.6586525072001038e-5	2.6586525072001038e-5	-1.5487940542321634e-7	0.0
intermediate	DE	BASIC_METALS	IT	REU_ELMA	0.00648762285539376	0.006450048195794197	0.006450048195794197	-3.7574659599563624e-5	0.0
intermediate	DE	BASIC_METALS	IT	REU_OFMA	0.0006270681016475779	0.0006234362828766142	0.0006234362828766142	-3.631818770963714e-6	0.0
intermediate	DE	BASIC_METALS	IT	REU_RATV	0.0024376384648235076	0.0024235202835444594	0.0024235202835444594	-1.4118181279048226e-5	0.0
intermediate	DE	BASIC_METALS	IT	TRADE	2.553758970013209	2.5389682483365013	2.5389682483365013	-0.014790721676707808	0.0
intermediate	DE	BASIC_METALS	IT	TRANSPORT	5.925112146412028	5.8907954056037095	5.8907954056037095	-0.03431674080831826	0.0
